,0
191,"
March 19, 2018 at 6:58 MODERATE avalanche danger continues today for all elevations. Loose wet avalanches may occur. An unexpected deep slab avalanche was remotely skier triggered yesterday leading to a high degree of uncertainty. Strive to create larger than normal margins of safety while traveling in or below avalanche terrain today.
"
192,"
March 18, 2018 at 6:58 MODERATE avalanche danger exists today at all elevations due to a combination of wind slab and loose wet avalanche problems. Backcountry travelers should not be surprised by the occurrence of a human triggered avalanche today. Areas of unstable snow will exist within surrounding greater areas of seemingly stable snow. Take active measures to avoid the specific terrain features where unstable snow is most likely to exist.
"
193,"
March 15, 2018 at 7:00 MODERATE avalanche danger will exist during the day due to wind slabs formed in the last 24 hours. The avalanche danger will quickly increase as the next storm impacts the forecast area starting this afternoon. The avalanche danger should rise to HIGH tonight night as wind slab and storm slab avalanche problems become widespread. Human triggered wind slabs will become very likely and storm slabs will become likely during the night. Travel in or near avalanche terrain is not recommended.
"
194,"
March 8, 2018 at 6:59 Even though deep slab avalanches have become more difficult to trigger and are now unlikely in most areas, they may remain possible in some specific terrain. The consequences of such an avalanche would still be dire. Some loose wet avalanche problems may also become possible today. These issues will keep the avalanche danger at MODERATE. 
"
195,"
March 4, 2018 at 6:50 Avalanche danger is MODERATE for all elevations. Even though snowpack stability is improving, human triggered avalanches remain possible. Keep in mind that most recreational avalanche accidents happen during periods of MODERATE or CONSIDERABLE danger. Wind slab, deep slab, and loose wet avalanche problems may be encountered today. Areas of unstable snow will exist within greater surrounding areas of seemingly stable snow.
"
196,"
February 25, 2018 at 6:54 MODERATE avalanche danger still exists in near and above treeline terrain due to lingering wind slabs as well as some potential new wind slabs. While these wind slabs should have become more difficult to trigger, human-triggered avalanches remain possible. 
"
197,"
February 24, 2018 at 6:52 MODERATE avalanche danger lingers near and above treeline. LOW avalanche danger exists below treeline. Blowing snow is expected today with the possibility of a wind slab avalanche problem. Air temperatures warming to near freezing today will allow for a very slight possibility of a loose wet avalanche problem.
"
198,"
February 23, 2018 at 6:52 MODERATE avalanche danger exists today for all elevations. Wind slab, loose dry, and storm slab avalanche problems may be encountered. Any areas of unstable snow will exist within greater surrounding areas of seemingly stable snow. Signs of instability may not readily present themselves today unless you are actively assessing for them.
"
199,"
February 22, 2018 at 6:56 MODERATE avalanche danger will exist today in most portions of the forecast area at all elevations. CONSIDERABLE avalanche danger may develop near treeline and above treeline in any areas that receive close to or more than a foot of new snow. Wind slabs are the main avalanche problem of concern. Isolated storm slabs may form in the areas of greatest new snow accumulation. Factor in how decreasing snow stability will affect travel plans and terrain selection as the day progresses.
"
200,"
January 30, 2018 at 7:00 As the day warms up, the avalanche danger will increase to MODERATE due to the potential for loose wet avalanches.  A few isolated persistent slabs may also linger on some near and below treeline slopes, especially in the Carson Pass and Ebbetts Pass areas. 
"
201,"
January 29, 2018 at 7:00 The avalanche danger remains MODERATE due to some wind slabs lingering in near and above treeline terrain and the potential for loose wet avalanches as the day warms up.  Some isolated persistent slabs may also linger in some near and below treeline areas, especially in the Carson Pass and Ebbetts Pass regions. 
"
202,"
January 28, 2018 at 7:00 The avalanche danger remains MODERATE due to old and new wind slabs in near and above treeline terrain. Some loose wet avalanches may become possible as the day warms up.  Unlikely but not impossible persistent slabs may also linger in below treeline areas, especially in the Carson Pass region. 
"
203,"
January 27, 2018 at 6:56 Avalanche danger is MODERATE near treeline and above treeline where another round of wind slab formation is expected to have occurred last night. Below treeline avalanche danger is LOW where triggering an avalanche on a regional scale is unlikely but not impossible. Persistent slab and loose wet avalanche problems have a high degree of uncertainty today.
	 
"
204,"
January 26, 2018 at 6:45 MODERATE avalanche danger exists above and below treeline due to a combination of wind slab and persistent slab avalanche problems. Significant uncertainly exists regarding the persistent slabs due to a change in weak layer of concern, isolated distribution, and a lack of data. Do not let an absence of signs of instability below treeline create a sense of security that discounts the possibility of an isolated avalanche problem.
"
205,"
January 22, 2018 at 6:54 MODERATE avalanche danger exists at all elevations due to newly formed wind slabs and unlikely but not impossible persistent slab avalanche problems lingering in isolated areas. In the unlikely event that an isolated human-triggered persistent slab avalanche does occur, it could be large with significant consequences.
"
206,"
January 21, 2018 at 7:00 Lingering isolated areas of persistent slab avalanche problems will keep the avalanche danger at MODERATE in near and below treeline terrain. If an isolated human triggered persistent slab avalanche does occur, it could be large with significant consequences. Above treeline, avalanche danger is LOW.
"
207,"
January 20, 2018 at 6:58 MODERATE avalanche danger exists near treeline and below treeline due to isolated areas of a persistent slab avalanche problem. Any isolated human triggered persistent slab avalanches could be large with significant consequences. Above treeline, avalanche danger is LOW.
"
208,"
January 9, 2018 at 7:00 MODERATE avalanche danger exists below 9000 ft. and human triggered avalanches will remain possible today due to lingering persistent slabs, loose wet instabilities, and some wind slab problems. In areas above 9000 ft. where more of the precipitation fell as snow and in areas that received the most snow accumulation CONSIDERABLE danger exists and some human triggered wind slabs or persistent slabs may be likely. Careful snowpack evaluation, cautious route-finding and conservative decision-making are essential.
"
209,"
January 5, 2018 at 7:01 MODERATE avalanche danger is increasing towards CONSIDERABLE avalanche danger at all elevations as rain and wet snow continue. Loose wet, persistent slab, and wind slab avalanche problems are a concern over the next 24 hours.
"
210,"
January 4, 2018 at 6:59 MODERATE avalanche danger exists at all elevations today due to isolated persistent slabs in areas where a slab layer exists above loose weak snow and rain on snow creating loose wet instabilities. Human-triggered avalanches will be possible today. While most avalanches should remain small, the shallow snowpack and numerous exposed obstacles can provide large consequences for any size avalanche. Evaluate snow and terrain carefully. Identify where instabilities may exist and avoid those areas in favor of less steep slopes.
"
211,"
January 3, 2018 at 6:52 Avalanche activity will remain unlikely in most areas today except in isolated areas where a slab layer exists above loose weak snow (facets) where small isolated human-triggered persistent slab avalanches may be possible. As a result, the avalanche danger remains at MODERATE at all elevations. As rain and snow begin to fall this evening some loose wet instabilities may start to form during the night and some of those isolated persistent slabs may become easier to trigger.
"
212,"
January 2, 2018 at 6:52 While avalanche activity is unlikely in most areas, the snowpack continues to weaken and human-triggered persistent slab avalanches remain possible in isolated areas where a slab layer exists above loose weak sugary snow (facets). As a result, the avalanche danger remains at MODERATE at all elevations. Identify and avoid areas where a slab layer exists on top of the persistent weak layer of faceted snow. 
"
213,"
December 30, 2017 at 6:51 Avalanche danger is MODERATE for all elevations. In isolated areas, the snowpack has weakened to the point that human triggered avalanches are now possible. Have a group discussion highlighting how managing a persistent slab avalanche problem is different from managing a wind slab avalanche problem. Adjust terrain selection and travel tactics accordingly.
"
214,"
December 29, 2017 at 6:59 Avalanche danger is MODERATE for all elevations. Human triggered avalanches have become possible in isolated areas. Curious as to how the avalanche danger went from LOW to MODERATE without a storm? Read up on the terms faceted snow and persistent slab.
"
215,"
December 28, 2017 at 6:40 While avalanches remain unlikely in most areas, the avalanche danger has increased to MODERATE due to a weakening snowpack allowing persistent slab problems to exist in specific areas. Human-triggered avalanches may be possible today in terrain with the right combination of a slab layer resting on top of a persistent weak layer of loose weak snow. This combination does not exist everywhere. Evaluate snow and terrain carefully and identify where slabs may exist on top of a persistent weak layer.
"
216,"
December 27, 2017 at 7:00 While avalanches remain unlikely in most areas, the avalanche danger has increased to MODERATE due to a stubborn persistent slab problem that exists in specific areas. Human triggered avalanches may be possible today in terrain where harder snow exists on top of a persistent weak layer of looser weaker snow. Evaluate snow and terrain carefully and identify areas where slabs may exist on top of a persistent weak layer. 
"
217,"
December 21, 2017 at 6:58 MODERATE avalanche danger exists in near and above treeline terrain due to yesterday's lingering wind slabs and today's newly formed wind slabs. Small loose dry avalanches could also occur on steep slopes where loose unconsolidated surface snow exists in more sheltered terrain. Human triggered avalanches remain possible today. Evaluate snow and terrain carefully; identify areas where avalanche problems exist; and avoid those areas.
"
218,"
December 20, 2017 at 6:58 Human triggered avalanches are possible today at all elevations. Some of these could involve enough snow to bury a person in areas where the most new snow accumulates. Today's avalanche problems include wind slabs, storm slabs, and loose dry avalanches. MODERATE avalanche danger will exist at all elevations. Evaluate snow and terrain carefully; identify areas where avalanche problems exist; and avoid those areas.
"
219,"
December 9, 2017 at 6:54 Hard wind slabs continue to pose a difficult to trigger avalanche problem keeping MODERATE avalanche danger ongoing in some near and above treeline areas. Below treeline, avalanche danger is LOW. These near and above treeline wind slabs are very dense and could allow a person to travel well out onto the slab, becoming fully committed to the slope prior to avalanche occurrence. It is also plausible that several to numerous individuals could travel a slope before the snowpack fails.
"
220,"
December 8, 2017 at 6:46 Hard wind slabs continue to pose an avalanche problem leading to MODERATE avalanche danger in some near and above treeline areas. Below treeline, avalanche danger is LOW.
"
221,"
December 7, 2017 at 6:48 MODERATE danger continues in near and above treeline terrain where hard wind slabs exist above older weaker snow. While these hard slabs may be difficult to trigger, human-triggered avalanches remain possible. If these slabs do break, they would likely fail above the trigger or after that person committed to the slope. Identify where wind slabs exist and avoid them. Firm or icy surfaces where arresting a fall would be challenging also exist on some exposed near and above treeline terrain.
"
222,"
December 6, 2017 at 6:40 MODERATE avalanche danger will continue in near and above treeline terrain due to the hard wind slabs created by the strong NE winds. While these hard slabs may be difficult to trigger, human-triggered avalanches remain possible today. Identify where wind slabs exist and avoid steep wind-loaded terrain. Firm, scoured, or icy surfaces where arresting a fall would be challenging also exist on exposed near and above treeline terrain.
"
223,"
December 5, 2017 at 6:49 MODERATE avalanche danger will continue to exist in near and above treeline terrain due to new wind slabs created by the strong NE winds and older wind slabs leftover from the recent storm. Human triggered avalanches remain possible. Identify where wind slabs exist and avoid steep wind-loaded terrain. Firm, scoured, or icy surfaces could also exist on exposed near and above treeline terrain.
"
224,"
April 23, 2017 at 6:43 MODERATE avalanche danger exists this morning due to the potential for loose wet and wet slab avalanche problems. In areas that received little to no snow surface refreeze last night these problems are possible beginning early this morning. In areas where a refreeze did occur these avalanche problems will develop as daytime warming occurs, accelerating once cloud cover clears from the area today. Avoid travel in avalanche terrain once wet surface snow begins to loose supportability.
"
225,"
April 20, 2017 at 6:24 MODERATE avalanche danger exists today due to lingering wind slabs and loose wet avalanche problems that will form as the sun comes out and the day warms up. This afternoon's sunshine and warming may also weaken the lingering wind slabs. Human-triggered avalanches large enough to cause problems for backcountry travelers are possible today. Wet slab avalanches should remain unlikely today, but they are not impossible. Avoid slopes where wet snow or wind slabs exist.
"
226,"
April 18, 2017 at 6:52 MODERATE avalanche danger continues at all elevations due to ongoing wind slab and loose wet avalanche problems. Human triggered avalanches are possible today. Natural avalanches are unlikely but not impossible in isolated areas. Identify and avoid areas of potential wind slab and loose wet avalanche problems. A small chance exists that a rapid warming situation could occur this afternoon.
"
227,"
April 17, 2017 at 6:47 MODERATE avalanche danger exists at all elevations due to a combination of wind slab and loose wet avalanche problems. Human triggered avalanches are possible today. Natural avalanches are unlikely but not impossible in isolated areas. Identify and avoid slopes where wind slab or loose wet avalanche problems may exist.
"
228,"
April 16, 2017 at 6:59 MODERATE avalanche danger continues today at all elevations. Uncertainly exists in regards to the degree of loose wet avalanche problems today as well as lingering wind slab avalanche problems. Conservative decision making and conservative terrain selection are advised.
"
229,"
April 15, 2017 at 7:00 The avalanche danger will increase to MODERATE today as sun and warmer temperatures cause more rapid warming. Human-triggered loose wet avalanches will be possible. Some natural loose wet avalanches may also be possible in a few areas. Human-triggered wind slab avalanches may remain possible in complex or extreme terrain or on wind-loaded slopes where rapid warming weakens wind slabs.
Avoid slopes where signs of warming or wet snow exist and slopes where wind slabs remain especially if they receive sunshine.   
"
230,"
April 13, 2017 at 7:00 MODERATE avalanche danger exists at all elevations today due to wind slabs on wind-loaded slopes and possible storm slabs in more sheltered terrain. Human-triggered avalanches are possible today. Evaluate the snowpack and terrain carefully to identify where avalanche problems may exist. Use this information to avoid areas with possible avalanche problems. If the storm ends earlier than forecasted and the sun comes out, rapid warming could accentuate these problems and also cause loose wet avalanche problems to form.
"
231,"
April 11, 2017 at 6:47 Areas of MODERATE avalanche danger linger today above treeline due to the potential for yesterday's human triggered wind slab avalanche activity to continue. For near treeline and below treeline areas avalanche danger is LOW. Some areas with minor amounts of wet surface snow may exist today, but loose wet avalanche problems are not expected.
"
232,"
April 5, 2017 at 6:50 Areas of MODERATE avalanche danger may exist this morning in locations that did not refreeze last night. In areas that did refreeze last night, MODERATE avalanche danger will develop at all elevations as daytime warming progresses. Loose wet avalanche problems are expected today at all elevations. Last night's snow surface refreeze is expected to have been relatively poor in the areas where it occurred.
"
233,"
April 1, 2017 at 7:00 MODERATE avalanche danger will exist at all elevations today due to lingering wind slab problems and loose wet avalanche problems that form in response to daytime warming. Warming could also weaken the lingering wind slabs in some areas. The largest avalanche problems will exist in areas where more snow accumulated during the recent storm like the Mt. Rose area and other high-elevation areas across the region. Identify where wind slabs and loose wet avalanches may exist and avoid those areas.
"
234,"
March 23, 2017 at 6:58 MODERATE avalanche danger will exist on all aspects today due to rapid warming weakening the recent snow. Widespread loose wet avalanches will be likely today. The warming will also weaken existing slabs making human triggered wind and wet slab avalanches possible today as well.  Evaluate the snowpack and terrain carefully to identify where avalanche problems may exist and plan a route that avoids the potential avalanche problems. 
"
235,"
March 22, 2017 at 6:49 MODERATE avalanche danger at all elevations is expected today for the vast majority of the forecast area. Isolated, highly localized areas could have greater danger. Wind slab, loose wet, and storm slab avalanche problems are expected today. Identify suspect slopes and avoid areas of concern.
"
236,"
March 17, 2017 at 7:00 The avalanche danger will remain low for a brief period early this morning. As the day warms up, the avalanche danger will quickly rise to MODERATE as loose wet avalanches become possible. Evaluate snow and terrain carefully and move to less steep slopes or slopes with colder more frozen snow once the snow becomes wet and unsupportable. Avoid slopes below large cornices and glide cracks. 
"
237,"
March 9, 2017 at 6:43 The avalanche danger will rise to MODERATE today as loose wet avalanche become possible. Some of these loose wet avalanches may entrain enough snow to bury a person. Evaluate snow and terrain carefully and move to colder shadier slopes once signs of loose wet instabilities like roller balls, pinwheels, or sinking deep into wet snow start to occur. 
"
238,"
March 8, 2017 at 6:43 MODERATE avalanche danger exists at all elevations. Loose wet avalanche problems will become increasingly widespread today. A wind slab avalanche problem may linger in isolated areas. Timing is important to avoid unstable wet snow as the loose wet problem will increase in response to daytime warming. Terrain with potential wind slabs will need evaluation on a slope by slope basis as signs of instability prior to an avalanche event will likely be very limited.
"
239,"
March 7, 2017 at 6:42 MODERATE avalanche danger today for all elevations due to lingering wind slab and developing loose wet avalanche problems. Evaluate terrain and conditions carefully, especially near and above treeline where the wind slab problem exists.
"
240,"
March 3, 2017 at 6:59 Loose wet avalanches will become possible at all elevations as the day warms up. The avalanche danger will rise to MODERATE at all elevations today. Other lingering avalanche problems may also still exist like the large cornices above many slopes or instabilities on isolated terrain features in complex or extreme terrain. Identify terrain where avalanche problems may exist and use this information to plan a travel route that avoids the problematic terrain.
"
241,"
March 2, 2017 at 7:00 Loose wet avalanches will become possible at all elevations as the day warms up. The avalanche danger will rise to MODERATE at all elevations today. Identify terrain where avalanche problems may exist and use this information to plan a travel route that avoids the problematic terrain.
"
242,"
March 1, 2017 at 6:45 Areas of MODERATE avalanche danger are expected today. Wet loose avalanche activity is possible at all elevations. Some small new wind slabs likely formed above treeline last night due to a shift to E winds. Identify areas of concern and communicate a terrain management plan with travel partners.
"
243,"
February 28, 2017 at 6:45 MODERATE avalanche danger will exist today at all elevations. Lingering wind slabs and developing wet loose avalanche problems are the concerns to manage today. Identify specific slopes of concern. Account for changing snowpack stability as daytime warming increases the likelihood of wet loose instability in sun exposed areas.
"
244,"
February 25, 2017 at 7:00 Human triggered wind slab avalanches and small loose snow sluffs will remain possible today. MODERATE avalanche danger exists in near and above treeline terrain today with LOW danger in below treeline areas. Carefully evaluate snowpack and terrain before committing to any slopes and identify where avalanche problems may exist. Use this information to avoid slopes where avalanche problems may exist.
"
245,"
February 24, 2017 at 6:59 MODERATE avalanche danger exists in near and above treeline terrain today with LOW danger in below treeline areas. Human triggered wind slab avalanches and loose snow sluffs will remain possible today. Carefully evaluate snowpack and terrain before committing to any slopes and use this information to avoid slopes where avalanche problems may exist.
"
246,"
February 23, 2017 at 6:59 MODERATE avalanche danger exists in near and above treeline terrain today with LOW danger in below treeline areas. Human triggered wind slab avalanches and loose snow sluffs will remain possible today. Carefully evaluate snowpack and terrain before committing to any slopes and use this information to avoid slopes where avalanche problems may exist.
"
247,"
February 18, 2017 at 6:59 Some human-triggered wind slab avalanches may remain possible today. Near and above treeline MODERATE avalanche danger exists in wind-loaded areas. Evaluate the snowpack and terrain carefully to identify features where problematic wind slabs may exist and plan travel routes to avoid them.
"
248,"
February 17, 2017 at 6:59 Human-triggered wind slab avalanches will be possible today on wind-loaded slopes. Near and above treeline terrain will hold more widespread and larger wind slabs, but some wind slabs may still linger in below treeline terrain. MODERATE avalanche danger exists at all elevations. Due to unusual wind directions, wind slabs may exist in unusual places. Evaluate the snowpack and terrain carefully to identify where avalanche problems may exist and plan travel routes to avoid them.
"
249,"
February 16, 2017 at 6:59 Human-triggered wind slab avalanches will be possible today on wind-loaded slopes and some human-triggered storm slab avalanches may be possible on sheltered slopes. MODERATE avalanche danger exists at all elevations. If more snow falls than forecasted, the avalanche danger could rise to CONSIDERABLE. Evaluate the snowpack and terrain carefully to identify where problematic storm slabs and wind slabs may exist and plan travel routes to avoid areas with these avalanche problems.
"
250,"
February 11, 2017 at 6:59 MODERATE avalanche danger exists on steep slopes at all elevations due to wind slabs formed during the storm and new wind slabs formed by the NE and E winds today. Human-triggered wind slab avalanches will remain possible today. Identify areas where wind slabs may exist and plan backcountry travel routes to avoid wind-loaded slopes.  
"
251,"
February 8, 2017 at 6:46 MODERATE avalanche danger exists for all elevations today. Wet loose and wind slab avalanche problems remain an ongoing concern. Precipitation intensity will be dramatically less today than yesterday and the snowpack has had time to establish drainage for rain on snow. Human triggered avalanches remain possible today. Natural avalanches are unlikely, but not impossible today in isolated areas. Exercise caution for travel in or below backcountry avalanche terrain.
	 
"
252,"
February 2, 2017 at 6:50 MODERATE avalanche danger is expected today for all elevations due to newly formed wind slab, storm slab, and possible wet loose avalanche problems. Avalanche activity is most likely to occur on slopes 35 degrees and steeper but could occur on lower angle slopes down to 30 degrees in some areas, especially below treeline. Increasing avalanche danger is expected late tonight into early Friday morning with CONSIDERABLE danger to possibly HIGH danger occurring overnight.
"
253,"
January 28, 2017 at 6:59 Human triggered wind slab avalanches may remain possible today due to wind slabs lingering in near and above treeline terrain. MODERATE avalanche danger exists on near and above treeline slopes. LOW avalanche danger exists in below treeline areas. Evaluate snow and terrain carefully before committing to a route. Use this information to identify features of concern like wind slabs and plan a route to avoid those areas of concern.
"
254,"
January 25, 2017 at 6:45 MODERATE avalanche danger exists in near treeline and above treeline areas on slopes 35 degrees and steeper due to the possibility of another round of wind slab development. LOW avalanche danger exists for wind protected areas below treeline.
"
255,"
January 24, 2017 at 6:34 MODERATE avalanche danger exists near treeline and above treeline due to wind slabs. Below treeline LOW avalanche danger exists in wind protected areas. Areas of instability will exist within greater surrounding areas of seemingly good stability. This could create a false sense of security. Avoid relying on marginal islands of safety or grouping up in runout zones. Evaluate slopes and terrain carefully, especially when changing elevation bands or changing from one aspect to another.
"
256,"
January 14, 2017 at 6:54 MODERATE avalanche danger exists at all elevations due to newly formed wind slabs and unlikely but not impossible lingering deep slabs. Human triggered avalanches may remain possible today especially in regards to the wind slabs that formed yesterday. Evaluate the snowpack and terrain carefully before committing to any route and use this information to identify and avoid areas of concern. This data can also help find safer areas to recreate where good snow conditions exist.
"
257,"
January 2, 2017 at 7:00 Human triggered avalanches will be possible today at all elevations due to new wind slabs, new storm slabs, and lingering persistent slabs. Some avalanches could be large and have serious consequences. Evaluate the snowpack and terrain carefully; identify areas where instability may exist, and use this information to avoid those areas of concern. MODERATE avalanche danger exists at all elevations. As more snow and wind impact the region this week, the avalanche danger will increase.
"
258,"
December 31, 2016 at 7:00 THIS ADVISORY WILL BE UPDATED ON JANUARY 2, 2017 at 7:00 am.
Human triggered avalanches will remain possible today and tomorrow on some slopes steeper than 32 degrees. MODERATE avalanche danger exists at all elevations. Evaluate the snowpack and terrain carefully; identify areas where instability may exist, and use this information to avoid those areas of concern. As more snow and wind imapct the region this week the avalanche danger will increase.
"
259,"
December 28, 2016 at 6:58 Areas of MODERATE avalanche danger continue to exist at all elevations on slopes 32 degrees and steeper due to a combination of wind slabs and persistent slabs. A human triggered wind slab avalanche occurred yesterday with signs of persistent instability present in other areas. Human triggered avalanches are possible again today in a variety of areas. Exercise caution and conservative decision making during backcountry travel.
"
260,"
December 27, 2016 at 7:00 Areas of MODERATE avalanche danger exist at all elevations on slopes 32 degrees and steeper due to a combination of wind slabs and persistent slabs. Several human triggered avalanches occurred yesterday with signs of persistent instability present in other areas. Human triggered avalanches are possible again today in a variety of areas. Isolated natural avalanche activity is unlikely but not impossible today. Exercise caution and conservative decision making during backcountry travel.
"
261,"
December 26, 2016 at 6:59 Some human triggered avalanches may remain possible on specific terrain today due to a combination of storm slabs in near and below treeline terrain and lingering wind slabs in wind-loaded near and above treeline terrain. MODERATE avalanche danger exists at all elevations. Evaluate the snowpack and terrain carefully before committing to any slopes.
"
262,"
December 25, 2016 at 6:55 Human triggered avalanches remain possible at all elevations today due to a combination of storm slabs in near and below treeline terrain, wind slabs in wind-loaded near and above treeline terrain, and loose dry avalanches in non-wind-affected terrain. Remote triggering of the storm slabs and wind slabs may be possible today. MODERATE avalanche danger exists at all elevations. Evaluate the snowpack and terrain carefully and use this data to inform your decision making and route planning.
"
263,"
December 20, 2016 at 6:50 Areas of MODERATE avalanche danger linger near and above treeline due to old wind slabs. Below treeline, LOW avalanche danger exists. Avalanche activity has been reported in isolated areas each of the past two days.
"
264,"
December 19, 2016 at 7:10 MODERATE avalanche danger may exist due to possible wind slabs resting on a variety of weak layers on all wind-loaded aspects. Some of these wind slabs are small and some could be large. Human triggered wind slab avalanches may be possible today. A human triggered avalanche that may have been a wind slab was reported in the Mt. Rose backcountry yesterday. Triggering a deep slab avalanche on NW-N-NE aspects above 9000 ft. has become unlikely but not impossible. 
"
265,"
December 18, 2016 at 7:03 MODERATE avalanche danger may exist on NW-W-SW-S-SE aspects in above treeline terrain due to possible wind slabs created by forecasted NE and E winds. These new wind slabs should remain small but could knock a person off their feet. Triggering a deep slab avalanche on NW-N-NE aspects above 9000 ft. has become unlikely but not impossible. At elevations below 9000 ft. less avalanche danger exists, but firm icy slopes with a dusting of snow may exist on all aspects.
"
266,"
December 17, 2016 at 7:00 MODERATE avalanche danger exists due to possible wind slabs on all aspects above treeline and on NW-N-NE-E-SE aspects in near and below treeline terrain. Some unlikely but not impossible deep slabs may still linger on high elevation NW-N-NE aspects on slopes steeper than 32 degrees as well. At elevations below 9000 ft. less avalanche danger exists, but firm icy slopes with a dusting of snow may exist on all aspects.
"
267,"
December 14, 2016 at 6:57 Areas of MODERATE avalanche danger exist above 8,000' both above and below treeline on slopes 35 degrees and steeper due to a combination of newly formed wind slabs above 8,000' and difficult to trigger persistent slabs above 9,000'. Below 8,000' to 9,000' firm icy surfaces exists in many areas and could pose dangerous travel conditions with long sliding falls possible.
"
268,"
December 13, 2016 at 7:00 MODERATE avalanche danger exists due to possible persistent slabs on high elevation NW-N-NE aspects on slopes steeper than 32 degrees. While avalanches may have become harder to trigger, large destructive human-triggered avalanches may still be possible today. In addition to the avalanche danger, firm icy slopes may exist on all aspects up to 9000 ft. due to a frozen rain crust.
"
269,"
December 12, 2016 at 7:00 MODERATE avalanche danger exists due to possible persistent slabs on high elevation NW-N-NE aspects on slopes steeper than 32 degrees and some unlikely but not impossible wind slabs on wind loaded upper elevation slopes. While avalanches may have become harder to trigger, large destructive human-triggered avalanches remain possible today. In addition to the avalanche danger, firm icy slopes may exist on all aspects up to 9000 ft. due to a frozen rain crust.
"
270,"
December 11, 2016 at 7:00 MODERATE avalanche danger exists due to wind slabs on near and above treeline NW-N-NE-E-SE aspects steeper than 35 degrees and possible persistent slabs on high elevation N aspects and isolated NE aspects on slopes steeper than 32 degrees. While avalanches may have become slightly harder to trigger today than they were yesterday, large destructive human-triggered avalanches remain possible today. Dangerous avalanche conditions could exist today.
"
271,"
November 29, 2016 at 6:47 MODERATE avalanche danger exists near and above treeline on all aspects on slopes steeper than 35 degrees due to wind slabs formed by recent SW and NE winds. Persistent slabs are on ongoing problem on N aspects with MODERATE danger both above and below treeline on slopes steeper than 30 degrees in specific areas. LOW danger exists in most areas below treeline, with the exception of N aspects.
"
272,"
November 28, 2016 at 7:00 MODERATE avalanche danger exists on N aspects steeper than 30 degrees above 8300 ft. along the Sierra Crest and above 9300 ft. in the Mt. Rose area due to a persistent slab problem. MODERATE danger also exists on wind loaded near and above treeline slopes steeper than 35 degrees due to wind slab problems. Wind slabs may exist on any aspect due to the changing winds today. 
"
273,"
November 26, 2016 at 6:58 MODERATE avalanche danger exists on N aspects steeper than 30 degrees in all terrain above 8000 ft. due to possible persistent slabs. MODERATE avalanche danger also exists on NW-N-NE-E-SE aspects in near and above treeline terrain on slopes steeper than 35 degrees due wind slabs. Large persistent slab avalanches are possible on true N aspects in the northern portion of the forecast area.
"
274,"
November 25, 2016 at 7:01 MODERATE avalanche danger exists on N aspects in all terrain above 8000 ft. and on NW-N-NE-E-SE aspects in near and above treeline terrain on slopes steeper than 30 degrees due to a combination of wind slabs and persistent slabs. Large persistent slab avalanches are possible on true N aspects in the northern portion of the forecast area.
 
"
275,"
November 23, 2016 at 6:59 This is a two day advisory, valid now through Thanksgiving Day. Avalanche danger is MODERATE on all aspects at elevations above 7,000' on slopes 30 to 35 degrees and steeper due to a mix of wind slabs, persistent slabs, and storm slabs. Large persistent slab avalanches are possible on true N aspects in the northern portion of the forecast area.
"
276,"
April 14, 2016 at 7:10 MODERATE avalanche danger could exist on NW-N-NE-E-SE aspects due to a combination of wind slabs in near and above treeline areas and loose dry avalanches. Today's avalanche activity should remain small due to the amount of new snow, but some avalanches could cause problems for backcountry travelers especially north of Tahoe City or near terrain traps. If the sun breaks through the clouds, today some small isolated loose wet avalanches could occur on the near and below treeline SE-S-SW aspects. 
"
277,"
April 12, 2016 at 6:58 Loose wet avalanches will remain possible all day today on slopes steeper than 35 degrees on all aspects and elevations. These loose wet avalanches will keep the avalanche danger at MODERATE for today.  Some of the loose wet avalanches could involve enough snow to threaten backcountry travelers. Evaluate snow and terrain carefully. Identify and avoid the areas where unsupportable deep wet snow exists. 
"
278,"
April 11, 2016 at 6:43 MODERATE avalanche danger continues for all elevations and aspects on slopes 35 degrees and steeper due to ongoing loose wet avalanche problems. Evaluate snow and terrain carefully. Identify and avoid steep terrain where unsupportable deep wet snow exists.
"
279,"
April 10, 2016 at 6:43 MODERATE avalanche danger continues for all aspects below 9,000' on slopes 35 degrees and steeper due to ongoing loose wet avalanche problems. The minimal amount of new snow that has deposited under light wind conditions over the upper elevations is not expected to have created new avalanche problems. Evaluate snow and terrain carefully. Identify and avoid the areas where unsupportable deep wet snow exists.
"
280,"
April 9, 2016 at 6:42 MODERATE avalanche danger continues for all aspects below 9,500' on slopes 35 degrees and steeper due to ongoing loose wet avalanche problems. Little to no snow surface refreeze is expected to have occurred last night. The minimal amount of new snow that deposits over the highest elevations today is not expected to create new avalanche problems. Evaluate snow and terrain carefully. Identify and avoid the areas where wet snow depth is sufficient for loose wet avalanches to occur.
"
281,"
April 8, 2016 at 7:00 MODERATE danger already exists on slopes steeper than 35 degrees on all aspects and elevations due to the presence of unfrozen loose wet snow. MODERATE danger will persist throughout the day as more loose wet snow forms resulting from daytime warming and rain impacting the area. Loose wet avalanches large enough to threaten backcountry travelers will be possible again today. Evaluate snow and terrain carefully. Identify and avoid the areas where wet snow deep enough for loose wet avalanches exists. 
"
