,month,day,year,Danger Message,source
83,14,January,2016,"
January 14, 2016 at 7:02 On slopes steeper than 32 degrees, CONSIDERABLE avalanche danger still persists on NW-N-NE-E-SE aspects in near and above treeline terrain due to a combination of wind slabs and persistent slabs. Even though the window for natural avalanches may have passed, human triggered avalanches remain likely. Unusual avalanche conditions exist. Avalanches on steeper slopes could be remotely triggered by a person standing in lower angle terrain. Careful snowpack evaluation, cautious route finding and conservative decision making are essential.
",SAC
84,24,December,2015,"
December 24, 2015 at 7:01 Human triggered avalanches will become likely today and natural avalanches will become possible as a winter storm impacts the forecast area. On slopes 35 degrees and steeper, CONSIDERABLE avalanche danger will form on NW-N-NE-E-SE aspects in near and above treeline terrain with MODERATE danger in all other areas. Wind slabs and loose dry avalanches represent the main avalanche problems today with deep slabs on NW-N-NE aspects representing a third unlikely but not impossible problem. 
",SAC
85,21,December,2015,"
December 21, 2015 at 7:00 Increasing avalanche danger will occur throughout the day today and tonight. CONSIDERABLE avalanche danger will exist today both near and above treeline on NW-N-NE-E-SE aspects as well as below treeline on NW-N-NE aspects on slopes 32 degrees and steeper. For all other areas, MODERATE avalanche danger exists. HIGH avalanche danger is expected to form tonight and last into the pre dawn hours tomorrow.
	 
",SAC
86,13,December,2015,"
December 13, 2015 at 7:05 CONSIDERABLE avalanche danger will form today above and below treeline on NW-N-NE-E-SE aspects on slopes 32 degrees and steeper. MODERATE avalanche danger for all other areas. Wind slabs and persistent slabs are todays avalanche problems. Significant uncertainty surrounds the potential for buried surface hoar below treeline on NW-N-NE aspects. Where surface hoar is buried, avalanche danger may exceed the regional rating of CONSIDERABLE and avalanche activity may occur on low angle slopes down to 25 degrees.
",SAC
87,11,December,2015,"
December 11, 2015 at 6:58 CONSIDERABLE avalanche danger exists on slopes steeper than 32 degrees on NW-N-NE-E-SE aspects in near and above treeline terrain. MODERATE avalanche danger exists on these aspects in below treeline terrain. Wind slabs will exist on wind loaded slopes, and persistent slabs may exist on sheltered northerly aspects toady. Careful snowpack evaluation, cautious route-finding, and conservative decision-making are essential. Human triggered avalanches will be likely today.
",SAC
88,10,December,2015,"
December 10, 2015 at 7:00 CONSIDERABLE avalanche danger exists on slopes steeper than 32 degrees on NW-N-NE-E-SE aspects due to a combination of new wind slabs and persistent slabs. Dangerous avalanche conditions exist. Careful snowpack evaluation, cautious route-finding and conservative decision-making are essential. Large human triggered avalanches will be likely today and some natural avalanches will be possible.
",SAC
89,25,November,2015,"
November 25, 2015 at 7:00 Human triggered avalanches remain likely today. CONSIDERABLE avalanche danger exists on near and above treeline NW-N-NE-E-SE aspects 35 degrees and steeper with MODERATE avalanche danger on the other aspects and elevations. Newly formed wind slabs on the wind loaded NW-N-NE-E-SE aspects in near and above treeline terrain represent the primary avalanche concern today but loose dry instabilities and isolated storm slabs may also exist in non wind loaded areas. 
",SAC
90,24,November,2015,"
November 24, 2015 at 7:00 The avalanche danger will increase to CONSIDERABLE on near and above treeline NW-N-NE-E-SE aspects 35 degrees and steeper by this afternoon and evening. Human triggered avalanches will become likely as new wind slabs will form on these slopes. MODERATE avalanche danger will form on the remaining aspects and elevations where avalanches could take the form of loose dry instabilities or isolated storm slabs by later this afternoon. 
",SAC
91,7,February,2015,"
February 7, 2015 at 6:49Avalanche danger has risen to CONSIDERABLE for areas above 8,000' near and above treeline on NW-N-NE-E-SE aspects on slopes 35 degrees and steeper. For all other areas, avalanche danger is MODERATE on slopes 35 degrees and steeper. Human triggered avalanches are expected today. Don't let the desire for powder negatively affect sound decision making. Specifically choosing slopes based on slope angle will be the difference between ""getting lucky"" and ""getting it done"" in the backcountry today.
",SAC
92,12,December,2014,"
December 12, 2014 at 7:00Human-triggered avalanches are likely (CONSIDERABLE danger) on NW-N-NE aspects steeper than 32 degrees due to wind slabs (all elevations) and deep persistent slabs (above 9000 ft). In other wind loaded areas on NW-N-NE-E-SE aspects human triggered avalanches will be possible (MODERATE danger) on slopes 35 degrees and steeper. Strong winds may mean wind slabs formed at lower elevations and in atypical areas. In areas east of Lake Tahoe where less snow fell, less avalanche danger will exist. 
",SAC
93,3,December,2014,"
December 3, 2014 at 6:55Above 8,000', areas of CONSIDERABLE avalanche danger exist both above and below treeline on NW-N-NE-E-SE aspects on slopes 32 degrees and steeper. For all other areas, avalanche danger is MODERATE on slopes 35 degrees and steeper. Wind slabs and persistent slabs can be found in a variety of areas. Natural avalanches are possible, human triggered avalanches are possible to likely.
",SAC
94,29,March,2014,"
March 29, 2014 at 6:12Avalanche danger will increase to CONSIDERABLE today and eventually to HIGH danger late this afternoon or evening near and above treeline on NW-N-NE-E-SE aspects on slopes 35 degrees and steeper. For all other areas avalanche danger is MODERATE on slopes 35 degrees and steeper.
",SAC
95,1,March,2014,"
March 1, 2014 at 7:00MODERATE danger exists on slopes 35 degrees and steeper on wind loaded W-NW-N-NE-E-SE aspects in near and above treeline terrain. Some pockets of CONSIDERABLE danger may still lurk on those same aspects and elevations south of Hwy. 50 where more snow fell. Pockets of MODERATE avalanche danger may also remain on some slopes 35 degrees and steeper on NW-N-NE-E aspects in near and below terrain. Human triggered wind slab and storm slab avalanches remain possible today.
",SAC
96,31,January,2014,"
January 31, 2014 at 7:00Pockets of CONSIDERABLE avalanche danger may still exist on slopes steeper than 30 degrees in near and below treeline terrain on NW-N-NE aspects above 9000 ft. due to recent snow slabs sitting on top of persistent weak layers. Human triggered avalanches could remain likely on these slopes today. MODERATE avalanche danger exists on similar slopes on those aspects below 9000 ft. due to buried wet persistent weak layers. MODERATE avalanche danger also exists and on the wind loaded NW-N-NE-E-SE aspects steeper than 35 degrees in near and above treeline terrain due to the presence of wind slabs.
The unusual conditions that exist in the mountains right now require extra caution and superb travel skills.
",SAC
97,30,January,2014,"
January 30, 2014 at 7:00HIGH avalanche danger exists on slopes steeper than 30 degrees in near and below treeline terrain on NW-N-NE aspects due to new heavy snow slabs sitting on top of persistent weak layers. Natural and human triggered avalanche are very likely on these slopes today. CONSIDERABLE avalanche danger exists on the wind loaded NW-N-NE-E-SE aspects in near and above treeline terrain due to the pressence of newly formed wind slabs on slopes 35 degrees and steeper. MODERATE avalanche danger exists on all other aspects.
Travel in, around, or near avalanche terrain is not recommended today.
",SAC
98,7,December,2013,"
December 7, 2013 at 6:51Widespread areas of CONSIDERABLE avalanche danger exist near and above treeline on NW-N-NE-E-SE aspects 30 degrees and steeper due to newly formed wind slabs and below treeline on NW-N-NE aspects 30 degrees and steeper due to persistent slabs. Natural avalanches are possible, human triggered avalanches are likely today. Significant avalanche danger exists below treeline. --- Everyone is chomping at the bit to get out there today. Only a small percentage have a handle on the weakness of the existing snowpack and the reality of avalanches today. Conservative terrain selection and effective group communication are imperative.
",SAC
99,2,April,2013,"
April 2, 2013 at 6:45Both above and below treeline, CONSIDERABLE danger will form quickly today on all aspects and at all elevations on slopes 35 degrees and steeper due to loose wet snow avalanches. Shallow naturally occurring loose wet avalanches are expected. Human triggered loose wet avalanches of greater size are likely. ",SAC
100,31,March,2013,"
March 31, 2013 at 6:55Near and above treeline, avalanche danger is CONSIDERABLE on all aspects on slopes 35 degrees and steeper. Below treeline, avalanche danger is MODERATE with pockets of CONSIDERABLE danger on all aspects on slopes 35 degrees and steeper. Natural and human triggered storm slab avalanches are possible today along with human triggered loose wet avalanches. ",SAC
101,21,March,2013,"
March 21, 2013 at 7:01Both above and below treeline, CONSIDERABLE avalanche danger is expected to today on E-SE-S aspects on slopes 35 degrees and steeper due to the possibility of natural and human triggered loose wet and wet slab avalanches. For all other areas, avalanche danger is MODERATE due to a mix of wet snow instability and lingering wind slab instability on slopes 35 degrees and steeper. ",SAC
102,6,March,2013,"
March 6, 2013 at 8:00Near and above treeline the avalanche danger is CONSIDERABLE on NW-N-NE-E-SE aspects on slopes steeper than 35 degrees due to new snow and wind forming unstable wind slabs. Below treeline pockets of CONSIDERABLE danger exist on those same aspects due to fragile soft storm slabs and some wind slabs. Human-triggered avalanches are likely today and natural avalanches are possible. ",SAC
103,26,December,2012,"
December 26, 2012 at 7:59Avalanche danger is CONSIDERABLE both above and below treeline on NW-N-NE-E-SE aspects on slopes 32  degrees and steeper. For all other areas, avalanche danger is MODERATE. A mix of newly formed wind slabs and heavy snow loads sitting on top of already weak persistent deep slabs will keep large  destructive human   triggered avalanches likely today. Natural avalanches are possible. Dangerous avalanche   conditions exist. Careful snowpack evaluation, cautious route finding,  and conservative decision making are essential. ",SAC
104,24,December,2012,"
December 24, 2012 at 8:01This forecast is vaild for 48 hours. We will update it again on Dec. 26th. 
Below and above treeline CONSIDERABLE the avalanche danger exists on all aspects on slopes steeper  than   33 degrees due to wind slabs and heavy snow loads sitting on an a weak snowpack. Large,  destructive human   triggered avalanches will remain likely. Natural avalanches will remain possible. Dangerous avalanche  conditions exist. Careful snowpack evaluation, cautious route finding, and conservative decision making are essential. ",SAC
105,21,December,2012,"
December 21, 2012 at 7:24Both above and below treeline, avalanche danger will rise to CONSIDERABLE today on NW-N-NE aspects on slopes 35 degrees and steeper due to wind slabs and persistent slabs. For other areas, avalanche danger is MODERATE on slopes 35 degrees and steeper. Avalanche danger is expected to further increase to HIGH danger tonight as continued snowfall occurs. ",SAC
106,18,December,2012,"
December 18, 2012 at 7:53Near and above treeline pockets of CONSIDERABLE  avalanche danger remain on the NW-N-NE-E aspects on slopes steeper than 35 degrees due to fragile wind slabs resting on buried weak layers. Below treeline, the  avalanche danger is MODERATE  on wind loaded NW-N-NE-E aspects steeper than 35 degrees. Human  triggered avalanches will be possible in many areas today and likely in  some of the most heavily wind loaded areas. ",SAC
107,17,December,2012,"
December 17, 2012 at 8:00UPDATED AT 9:00am
Near and above treeline the avalanche danger is CONSIDERABLE on the NW-N-NE-E aspects on slopes 35 degrees and steeper due to continued wind and new snow. Below treeline, pockets of CONSIDERABLE avalanche danger exist on wind loaded NW-N-NE-E aspects steeper than 35 degrees. Human triggered avalanches will be likely today and natural avalanches will be possible. ",SAC
108,1,December,2012,"
December 1, 2012 at 8:02Both above and below treeline, areas of CONSIDERABLE avalanche danger will exist today due to new snow loading and wind loading. Danger will be greatest above 8,000' on NW-N-NE-E aspects steeper than 35 degrees. Widespread HIGH avalanche danger is expected to occur tonight into Sunday due to rain on new snow up to 10,000'. ",SAC
109,13,April,2012,"
April 13, 2012 at 6:59On slopes  steeper than 35 degrees near and above treeline, CONSIDERABLE   avalanche danger will exist on N-NE-E aspects with pockets of CONSIDERABLE danger on the NW and SE aspects  due to new snow and wind loading. Pockets of CONSIDERABLE  danger may also exist on below treeline NW-N-NE-E-SE aspects on slopes  steeper than 35 degrees. Human triggered avalanches are likely  today, and natural avalanche are possible. ",SAC
110,1,April,2012,"
April 1, 2012 at 6:59Pockets of CONSIDERABLE avalanche danger exist at all elevations on the N-NE-E-SE aspects on slopes 35   degrees and steeper due to new wind slabs and ongoing deep slab avalanche  concerns. MODERATE    avalanche danger exists on all other aspects at all elevations. ",SAC
111,28,March,2012,"
March 28, 2012 at 6:52Near and above treeline avalanche danger is CONSIDERABLE on NW-N-NE-E-SE     aspects on slopes 35 degrees  and steeper due to newly formed storm slabs, wind slabs, and ongoing   persistent deep  slab  instability.   Large destructive deep slab avalanches remain possible both above and below treeline on NW-N-NE aspects. For all other areas, avalanche danger is MODERATE on slopes 35 degrees and steeper. ",SAC
112,17,March,2012,"
March 17, 2012 at 6:47Both above and below treeline, avalanche danger is CONSIDERABLE on NW-N-NE-E-SE aspects on slopes 35 degrees and steeper. For all other areas, avalanche danger is MODERATE with pockets of CONSIDERABLE danger on slopes 35 degrees and steeper. Due to the combination of several feet of new snow and persistent deep slab instability, large destructive avalanches are possible today. ",SAC
113,16,March,2012,"
March 16, 2012 at 7:00Both above and below treeline, avalanche danger is CONSIDERABLE on NW-N-NE-E aspects on slopes 35 degrees and steeper. For all other areas, avalanche danger is MODERATE.
HIGH avalanche danger is expected tonight and tomorrow morning. ",SAC
114,14,March,2012,"
March 14, 2012 at 7:49CONSIDERABLE   avalanche danger exists at all elevations on NW-N-NE-E aspects on  slopes 35 degrees and  steeper  due to ongoing deep slab          instability, new snow, wind loading, and rain on snow. Large  destructive      human triggered avalanches are likely in these  areas.  Pockets of CONSIDERABLE   danger may also form on all other aspects  aspects below 8000 ft due  to rain on snow. South of Hwy 50 and east of Lake Tahoe where less snow  has fallen less avalanche danger exists. ",SAC
115,14,March,2012,"
March 14, 2012 at 7:00CONSIDERABLE   avalanche danger exists at all elevations on NW-N-NE-E aspects on  slopes 35 degrees and  steeper  due to ongoing deep slab         instability, new snow, wind loading, and rain on snow. Large destructive      human triggered avalanches are likely in these  areas. Pockets of CONSIDERABLE  danger may also form on all other aspects  aspects below 8000 ft due to rain on snow. South of Hwy 50 and east of Lake Tahoe where less snow has fallen less avalanche danger exists. ",SAC
116,2,March,2012,"
March 2, 2012 at 8:00CONSIDERABLE  avalanche danger remains on NW-N-NE-E aspects on slopes 35 degrees and steeper at all elevations with pockets of CONSIDERABLE   danger on the below treeline E and SE aspects. MODERATE avalanche danger exists on the S-SW-W aspects. Dangerous   human-triggered avalanches remain likely today due to complex wind loading, recent snow, and a weak snowpack. ",SAC
117,1,March,2012,"
March 1, 2012 at 8:00Near and above treeline CONSIDERABLE  avalanche danger remains on NW-N-NE-E-SE aspects, on slopes 35 degrees and steeper. Areas of  CONSIDERABLE avalanche danger also exist near and below treeline on NW-N-NE aspects steeper than 35 degrees with pockets of CONSIDERABLE  danger on the below treeline E and SE aspects. Dangerous  human-triggered avalanches remain likely and natural avalanches remain possible today due to high winds, new  snowfall, and a weak snowpack. ",SAC
118,24,January,2012,"
January 24, 2012 at 8:00Even though the time for widespread natural avalanches has passed, human triggered avalanches will remain likely today. Near and above treeline, pockets of CONSIDERABLE avalanche danger remain on wind-loaded NW-N-NE-E aspects steeper than 35 degrees. MODERATE avalanche danger exists on all other aspects and elevations on slopes steeper than 35 degrees. Large destructive avalanches remain possible in the backcountry today. ",SAC
119,22,January,2012,"
January 22, 2012 at 8:00Near and above treeline, isolated pockets of CONSIDERABLE avalanche danger exist on NW-N-NE-E aspects on slopes 35 degrees and steeper. For all other open wind affected areas, MODERATE avalanche danger exists on slopes 35 degrees and steeper. An increase in avalanche danger with likely natural avalanche activity is expected overnight tonight into tomorrow morning. ",SAC
120,21,January,2012,"
January 21, 2012 at 7:54Near and above treeline, avalanche danger is CONSIDERABLE on NW-N-NE-E aspects on slopes 35 degrees and steeper. For all other areas, MODERATE avalanche danger exists on slopes 35 degrees and steeper. Large destructive avalanches are possible above 7,500'. ",SAC
121,7,April,2011,"
April 7, 2011 at 6:52Near and above treeline avalanche danger is CONSIDERABLE on NW-N-NE-E-SE aspects, on slopes 35 degrees and steeper. For all other areas above and below treeline, avalanche danger is MODERATE on all aspects on slopes 35 degrees and steeper. ",SAC
122,26,March,2011,"
March 26, 2011 at 6:50Near and above treeline, avalanche danger is CONSIDERABLE  on NW-N-NE-E-SE-S aspects on slopes 35 degrees and steeper. Below treeline avalanche danger is MODERATE with pockets of CONSIDERABLE  danger on NW-N-NE-E-SE-S aspects on slopes 35 degrees and steeper. On the SW-W aspects avalanche danger is MODERATE both above and below treeline on slopes 35 degrees and steeper. Large and destructive avalanches remain possible. The best window for natural avalanche activity will occur during the morning hours. Human triggered avalanches will remain possible to likely all day long. ",SAC
123,23,March,2011,"
March 23, 2011 at 7:00Near and above treeline, CONSIDERABLE avalanche danger will form on NW-N-NE-E-SE aspects on slopes steeper than 35 degrees today. Below treeline pockets of CONSIDERABLE avalanche danger will form on these aspects on slopes steeper than 35 degrees. On the S-SW-W aspects the avalanche danger is MODERATE on slopes steeper than 35 degrees. ",SAC
124,19,March,2011,"
March 19, 2011 at 7:02Near and above treeline, CONSIDERABLE avalanche danger exists on NW-N-NE-E-SE aspects steeper than 35 degrees. Below treeline on slopes steeper than 35 degress, pockets of CONSIDERABLE danger exist on those aspects. On the S-SW-W aspects, at all elevations the avalanche danger is MODERATE. Large, deep, and destructive avalanches could occur today. ",SAC
125,16,March,2011,"
March 16, 2011 at 6:53Near and above treeline, avalanche danger is CONSIDERABLE on NW-N-NE-E-SE aspects, on slopes 35 degrees and steeper. Below treeline, avalanche danger is MODERATE in open areas, on slopes 35 degrees and steeper. Large destructive avalanches are possible. ",SAC
126,7,March,2011,"
March 7, 2011 at 8:03Near and above treeline pockets of CONSIDERABLE  avalanche danger exist on N-NE-E-SE aspects on slopes 35 degrees  and steeper. MODERATE danger exists on other near and above treeline aspects. Below treeline pockets of MODERATE  avalanche danger will exist on any slopes steeper than 35 degrees. ",SAC
127,6,March,2011,"
March 6, 2011 at 8:00Near and above treeline pockets of CONSIDERABLE  avalanche danger may form today on N-NE-E-SE aspects on slopes 35 degrees  and steeper. MODERATE danger exists on other near and above treeline aspects. Below treeline pockets of CONSIDERABLE  avalanche danger will exist on any slopes steeper than 35 degrees that receive rain today.  ",SAC
128,17,February,2011,"
February 17, 2011 at 7:59Near and above treeline on slopes steeper than 35 degrees, CONSIDERABLE avalanche danger exists on the NW-N-NE-E-SE aspects. Below treeline on slopes steeper than 35 degrees, MODERATE avalanche danger exists on all aspects with pockets of CONSIDERABLE danger on NW-N-NE-E-SE aspects on slopes steeper than 37 degrees. ",SAC
129,16,February,2011,"
February 16, 2011 at 8:00Near and above treeline on slopes steeper than 35 degrees, CONSIDERABLE avalanche danger exists on the NW-N-NE-E-SE aspects. Below treeline on slopes steeper than 35 degrees, MODERATE avalanche danger exists on all aspects with pockets of CONSIDERABLE danger on the NW-N-NE-E-SE aspects. ",SAC
130,2,January,2011,"
January 2, 2011 at 7:53Near and above treeline avalanche danger will rise to CONSIDERABLE today on W-NW-N-NE-E aspects, 35 degrees and steeper. Below treeline MODERATE danger exists on all aspects on slopes 35 degrees and steeper. The areas of greatest avalanche danger today are expected to occur south of Highway 50. ",SAC
131,29,December,2010,"
December 29, 2010 at 8:04Near and above treeline, CONSIDERABLE avalanche danger exists on N-NE-E aspects with pockets of CONSIDERABLE danger on NW and SE aspects on slopes steeper than 35 degrees. Below treeline, pockets of CONSIDERABLE danger exist on N-NE-E aspects on slopes steeper than 35 degrees. On other aspects, MODERATE avalanche danger exists on slopes 35 degrees and steeper. ",SAC
132,20,December,2010,"
December 20, 2010 at 7:46Near and above treeline, avalanche danger is CONSIDERABLE on NW-N-NE-E-SE aspects, 35 degrees and steeper. Below treeline, avalanche danger is MODERATE in open areas on all aspects, 35 degrees and steeper. ",SAC
133,6,December,2010,"
December 6, 2010 at 7:57Near and above treeline pockets of CONSIDERABLE avalanche danger exist on N-NE-E aspects 35 degrees and steeper with MODERATE danger on other aspects. Below treeline pockets of MODERATE  danger exist on open slopes steeper than 35 degrees. ",SAC
134,23,November,2010,"
November 23, 2010 at 7:59Near and above treeline on slopes steeper than 35 degrees, CONSIDERABLE avalanche danger exists on N-NE-E aspects with pockets of CONSIDERABLE danger on the NW and SE aspects. On all other aspects above treeline and on all aspects below treeline, the avalanche danger is MODERATE. The most likely time for natural avalanches and easily human-triggered avalanches will be during the period of intense snowfall and strong winds forecasted to occur through midday today.  ",SAC
135,23,November,2010,"
November 23, 2010 at 7:58Near and above treeline on slopes steeper than 35 degrees, CONSIDERABLE avalanche danger exists on N-NE-E aspects with pockets of CONSIDERABLE danger on the NW and SE aspects. On all other aspects above treeline and on all aspects below treeline the avalanche danger is MODERATE. The most likely time for natural avalanches and easily human-triggered avalanches will be during the period of intense snowfall and strong winds forecasted to occur through midday today.  ",SAC
136,21,November,2010,"
November 21, 2010 at 7:55Near and above treeline, avalanche danger is CONSIDERABLE danger on NW-N-NE-E-SE aspects, 35 degrees and steeper. Below treeline, avalanche danger is MODERATE in open wind affected areas, 35 degrees and steeper. ",SAC
137,24,April,2010,"
April 24, 2010 at 7:00The avalanche danger will rise to CONSIDERABLE again today on the sun-exposed SE-S-SW-W aspects steeper than 35 degrees due to daytime warming. Pockets of CONSIDERABLE danger may also form on E aspects. On the cross-loaded NW aspects near and above treeline and the NW-N-NE aspects below treeline pockets of MODERATE avalanche danger exist. ",SAC
138,23,April,2010,"
April 23, 2010 at 7:00The avalanche danger will rise to CONSIDERABLE today on the sun-exposed SE-S-SW-W aspects steeper than 35 degrees due to rapid daytime warming. Some pockets of CONSIDERABLE danger may also form on E aspects. On the NW-N-NE aspects areas of MODERATE avalanche danger still remain on wind-loaded slopes.  ",SAC
139,12,April,2010,"
April 12, 2010 at 6:40South of Hwy 50 along the Sierra Crest, avalanche danger near and above treeline is CONSIDERABLE on NW-N-NE-E-SE aspects 35 degrees and steeper. Below treeline, avalanche danger is MODERATE on all aspects, 35 degrees and steeper. North of Hwy 50 along the Sierra Crest and for the Carson Range, avalanche danger near and above treeline is MODERATE on NW-N-NE-E-SE aspects 35  degrees and steeper. Below treeline, avalanche danger is LOW with pockets of MODERATE danger on all  aspects, 35 degrees and steeper. ",SAC
140,7,April,2010,"
April 7, 2010 at 7:00Pockets of CONSIDERABLE avalanche danger will form at all elevations on E-SE-S-SW-W aspects 35 degrees and steeper due to daytime warming. Small isolated pockets of MODERATE danger linger on NW-N-NE aspects 37 degrees and steeper near and above treeline in complex wind-loaded terrain. ",SAC
141,6,April,2010,"
April 6, 2010 at 6:42Avalanche danger is CONSIDERABLE at all elevations on E-SE-S-SW-W aspects 35 degrees and steeper due to warming instability. Pockets of MODERATE danger linger on NW-N-NE aspects 37 degrees and steeper both above and below treeline due to recent storm snow instability. ",SAC
142,5,April,2010,"
April 5, 2010 at 6:45Near and above treeline, avalanche danger is CONSIDERABLE on NW-N-NE-E-SE aspects, 35 degrees and steeper. Below treeline, avalanche danger is MODERATE in open areas 35 degrees and steeper. Large human triggered avalanches should be expected in steep wind loaded terrain. ",SAC
143,3,April,2010,"
April 3, 2010 at 7:00Near and above treeline pockets of CONSIDERABLE avalanche danger exist on the wind-loaded, NW-N-NE-E aspects 35 degrees and steeper with MODERATE avalanche danger on the other aspects. Below treeline pockets of MODERATE avalanche danger exist on all aspects on slopes steeper than 35 degrees.  ",SAC
144,31,March,2010,"
March 31, 2010 at 6:57Along the Sierra Crest north of Hwy 50, avalanche danger is CONSIDERABLE near and above treeline on NW-N-NE-E-SE aspects 35 degrees and steeper. For all other areas, avalanche danger is MODERATE on all aspects on slopes 35 degrees and steeper. Large destructive avalanches are possible. ",SAC
145,30,March,2010,"
March 30, 2010 at 6:57Near and above treeline, avalanche danger will rise to CONSIDERABLE as the day progresses on NW-N-NE-E-SE aspects, 35 degrees and steeper. Below treeline, avalanche danger will rise to MODERATE with pockets of CONSIDERABLE danger in open wind affected areas on NW-N-NE-E-SE aspects, 35 degrees and steeper. ",SAC
146,14,March,2010,"
March 14, 2010 at 7:00Pockets of CONSIDERABLE avalanche danger will form on E-SE-S-SW aspects 35 degrees and steeper due to warming instability today. Pockets of MODERATE avalanche danger will exist both above and below treeline on all other aspects 35 degrees and steeper. ",SAC
147,13,March,2010,"
March 13, 2010 at 7:43Avalanche danger is CONSIDERABLE below 8,500' on E-SE-S aspects 35 degrees and steeper due to warming instability. Avalanche danger is MODERATE both above and below treeline on all other aspects 35 degrees and steeper. ",SAC
148,3,March,2010,"
March 3, 2010 at 8:00Near and above treeline during the day today on slopes 35 degrees and steeper, the avalanche danger will rise to CONSIDERABLE on N-NE-E aspects with pockets of CONSIDERABLE on the NW and SE aspects. Below treeline pockets of CONSIDERABLE danger will also develop on the NW-N-NE-E aspects on slopes steeper than 35 degrees. In all other areas the avalanche danger is MODERATE. Large destructive avalanches remain possible. ",SAC
149,26,February,2010,"
February 26, 2010 at 8:01MODERATE avalanche danger exists on all slopes steeper than 35 degrees today. The avalanche danger will increase to CONSIDERABLE tonight on wind-loaded NW-N-NE-E-SE slopes steeper than 35 degrees both above and below treeline as more snow and wind impact the forecast area. ",SAC
150,24,February,2010,"
February 24, 2010 at 8:01Near and above treeline on slopes 35 degrees and steeper, pockets of CONSIDERABLE danger exist on wind-loaded N-NE-E aspects and on cross-loaded NW and SE aspects. MODERATE avalanche danger exists on all other slopes steeper than 35 degrees. ",SAC
151,26,January,2010,"
January 26, 2010 at 8:00Near and above treeline, pockets of CONSIDERABLE avalanche danger exist on wind-loaded N-NE-E aspects 35 degrees and steeper. Below treeline the avalanche danger is MODERATE on open NW-N-NE-E aspects steeper than 37 degrees. ",SAC
152,22,January,2010,"
January 22, 2010 at 7:50Near and above treeline, pockets of CONSIDERABLE avalanche danger exist in wind loaded areas on NW-N-NE-E aspects, 35 degrees and steeper. Below treeline, areas of MODERATE danger exist in wind affected areas on all aspects, 35 degrees and steeper. ",SAC
153,20,January,2010,"
January 20, 2010 at 7:59Near and above treeline the avalanche danger is CONSIDERABLE on NW-N-NE-E aspects steeper than 35 degrees. Below treeline pockets of CONSIDERABLE danger exist on open, NW-N-NE-E aspects steeper than 35 degrees. The avalanche danger is MODERATE on all other aspects. As more snow falls today, avalanches will become easier to trigger and more widespread. ",SAC
154,19,January,2010,"
January 19, 2010 at 8:00Near and above treeline the avalanche danger is CONSIDERABLE on NW-N-NE-E aspects steeper than 35 degrees. Below treeline pockets of CONSIDERABLE danger exist on open, NW-N-NE-E aspects steeper than 35 degrees. The avalanche danger is MODERATE on all other aspects. ",SAC
155,13,January,2010,"
January 13, 2010 at 8:00Near and above treeline CONSIDERABLE avalanche danger exits on wind-loaded N-NE-E aspects 35 degrees and steeper. Human triggered avalanches will be likely on these slopes. MODERATE avalanche danger exists on all other aspects at all elevations on slopes steeper than 35 degrees. Human triggered avalanches will be possible on any steep slopes today. ",SAC
156,30,December,2009,"
December 30, 2009 at 7:59Near and above treeline, avalanche danger is CONSIDERABLE on NW-N-NE-E-SE aspects, 35 degrees and steeper. Below treeline, avalanche danger is MODERATE in open areas on NW-N-NE-E-SE aspects, 35 degrees and steeper. ",SAC
157,13,December,2009,"
December 13, 2009 at 8:00Avalanche danger is CONSIDERABLE today in wind loaded areas near and above treeline on NW-N-NE-E-SE aspects, 34 degrees and steeper. Near treeline and below treeline, avalanche danger is CONSIDERABLE on NW-N-NE aspects near and above 7,000' on slopes 32 degrees and steeper due to possible overloading of persistent weak layers near the base of the snowpack. In other areas, avalanche danger is MODERATE. ",SAC
158,11,December,2009,"
December 11, 2009 at 8:00Near and above treeline, pockets of CONSIDERABLE danger are expected to form today in wind loaded areas on NW-N-NE-E aspects, 34 degrees and steeper. Below treeline avalanche danger is MODERATE on NW-N-NE aspects, 34 degrees and steeper due to continued instability of a variety of weak layers. ",SAC
159,9,December,2009,"
December 9, 2009 at 7:58Pockets of CONSIDERABLE avalanche danger exist on NW-N-NE-E aspects steeper than 35 degrees at all elevations. MODERATE danger exists on cross-loaded NW and SE aspects steeper than 35 degrees near and above treeline. ",SAC
160,8,December,2009,"
December 8, 2009 at 8:00Near and above treeline CONSIDERABLE avalanche danger exists on N-NE-E aspects 32 degrees and steeper. Pockets of CONSIDERABLE danger exist on NW aspects. Below treeline pockets of CONSIDERABLE danger exist on NW-N-NE-E aspects 32 degrees and steeper. ",SAC
161,16,April,2009,"
April 16, 2009 at 6:50For the mountains directly south of Lake Tahoe, areas of CONSIDERABLE avalanche danger will develop near and above treeline on SE-S-SW aspects, 37 degrees and steeper in response to daytime warming. For all other locations, expect areas of MODERATE danger to develop at all elevations on E-SE-S-SW-W aspects, 37 degrees and steeper in response to daytime warming. ",SAC
162,22,March,2009,"
March 22, 2009 at 6:56Near and above treeline, avalanche danger is CONSIDERABLE on NW-N-NE-E-SE aspects, 35 degrees and steeper. Below treeline, avalanche danger is MODERATE in open areas, 35 degrees and steeper. ",SAC
